"","Date","Clicks","Clean.clicks","Clicks.MA7","Clicks.MA30"
"1",2015-07-01,18,18,NA,NA
"2",2015-07-02,11,11,NA,NA
"3",2015-07-03,5,5,NA,NA
"4",2015-07-04,13,13,11.2857142857143,NA
"5",2015-07-05,14,14,11.8571428571429,NA
"6",2015-07-06,9,9,14,NA
"7",2015-07-07,9,9,16.7142857142857,NA
"8",2015-07-08,22,22,17.5714285714286,NA
"9",2015-07-09,26,26,17,NA
"10",2015-07-10,24,24,17.7142857142857,NA
"11",2015-07-11,19,19,18.5714285714286,NA
"12",2015-07-12,10,10,16.5714285714286,NA
"13",2015-07-13,14,14,15.1428571428571,NA
"14",2015-07-14,15,15,12.8571428571429,NA
"15",2015-07-15,8,8,11.2857142857143,NA
"16",2015-07-16,16,16,12.1428571428571,13.7
"17",2015-07-17,8,8,11.1428571428571,13.4333333333333
"18",2015-07-18,8,8,10.5714285714286,13.4
"19",2015-07-19,16,16,10.8571428571429,13.3666666666667
"20",2015-07-20,7,7,11.4285714285714,13.25
"21",2015-07-21,11,11,12.8571428571429,13.2333333333333
"22",2015-07-22,10,10,13.8571428571429,13.2
"23",2015-07-23,20,20,13.5714285714286,12.8666666666667
"24",2015-07-24,18,18,14.2857142857143,12.3166666666667
"25",2015-07-25,15,15,14.1428571428571,11.8333333333333
"26",2015-07-26,14,14,15,11.3666666666667
"27",2015-07-27,49,12,14.7142857142857,11.1166666666667
"28",2015-07-28,10,10,13.2857142857143,11.0166666666667
"29",2015-07-29,16,16,11.8571428571429,10.8333333333333
"30",2015-07-30,18,18,11.1428571428571,10.75
"31",2015-07-31,8,8,10.4285714285714,10.7166666666667
"32",2015-08-01,5,5,10.8571428571429,10.6
"33",2015-08-02,9,9,9.85714285714286,10.65
"34",2015-08-03,7,7,8.28571428571428,10.9166666666667
"35",2015-08-04,13,13,7.71428571428571,11.1
"36",2015-08-05,9,9,8.57142857142857,11.0333333333333
"37",2015-08-06,7,7,8.71428571428571,10.8666666666667
"38",2015-08-07,4,4,8.42857142857143,10.8
"39",2015-08-08,11,11,7.85714285714286,10.55
"40",2015-08-09,10,10,7.85714285714286,10.2833333333333
"41",2015-08-10,5,5,8.14285714285714,10.1916666666667
"42",2015-08-11,9,9,8.85714285714286,10
"43",2015-08-12,9,9,9.14285714285714,9.8
"44",2015-08-13,9,9,8.28571428571428,9.66666666666667
"45",2015-08-14,9,9,9.71428571428571,9.38333333333333
"46",2015-08-15,13,13,12,9.16666666666666
"47",2015-08-16,4,4,12,9.26666666666667
"48",2015-08-17,15,15,11.4285714285714,9.35
"49",2015-08-18,25,25,11,9.41666666666667
"50",2015-08-19,9,9,12,9.45
"51",2015-08-20,5,5,11.8571428571429,9.45
"52",2015-08-21,6,6,11.7142857142857,9.51666666666667
"53",2015-08-22,20,20,9.5,9.73333333333334
"54",2015-08-23,3,3,8.92857142857143,9.81666666666667
"55",2015-08-24,14,14,8.92857142857143,9.71666666666667
"56",2015-08-25,46,9.5,9.92857142857143,9.75
"57",2015-08-26,5,5,7.64285714285714,9.7
"58",2015-08-27,5,5,8.5,9.6
"59",2015-08-28,13,13,7.92857142857143,9.58333333333334
"60",2015-08-29,4,4,7.85714285714286,9.6
"61",2015-08-30,9,9,8.71428571428571,9.5
"62",2015-08-31,10,10,9.57142857142857,9.53333333333333
"63",2015-09-01,9,9,9.28571428571429,9.7
"64",2015-09-02,11,11,10,9.4
"65",2015-09-03,11,11,10.8571428571429,9.33333333333333
"66",2015-09-04,11,11,10.1428571428571,9.65
"67",2015-09-05,9,9,10.2857142857143,9.8
"68",2015-09-06,15,15,9.71428571428571,9.75
"69",2015-09-07,5,5,8.71428571428572,9.7
"70",2015-09-08,10,10,8.28571428571428,9.78333333333333
"71",2015-09-09,7,7,8.28571428571429,9.725
"72",2015-09-10,4,4,7.57142857142857,9.68333333333333
"73",2015-09-11,8,8,7.71428571428571,9.8
"74",2015-09-12,9,9,8.14285714285714,9.91666666666667
"75",2015-09-13,10,10,9.42857142857143,9.96666666666667
"76",2015-09-14,6,6,9.71428571428571,10.0166666666667
"77",2015-09-15,13,13,12,10.2
"78",2015-09-16,16,16,12,10.3333333333333
"79",2015-09-17,6,6,12.1428571428571,10.3666666666667
"80",2015-09-18,24,24,13,10.3833333333333
"81",2015-09-19,9,9,12.2857142857143,10.4
"82",2015-09-20,11,11,12,10.4
"83",2015-09-21,12,12,12,10.2166666666667
"84",2015-09-22,8,8,9.42857142857143,10.15
"85",2015-09-23,14,14,9.71428571428571,10.1166666666667
"86",2015-09-24,6,6,10.1428571428571,10.1
"87",2015-09-25,6,6,9.28571428571428,10.475
"88",2015-09-26,11,11,9.57142857142857,11.2166666666667
"89",2015-09-27,14,14,10.4285714285714,11.6
"90",2015-09-28,6,6,10.5714285714286,11.6
"91",2015-09-29,10,10,11.8571428571429,11.6833333333333
"92",2015-09-30,20,20,11.4285714285714,11.65
"93",2015-10-01,7,7,11.5714285714286,11.5
"94",2015-10-02,15,15,11.4285714285714,11.75
"95",2015-10-03,8,8,11.1428571428571,11.9833333333333
"96",2015-10-04,15,15,9.42857142857143,11.7833333333333
"97",2015-10-05,5,5,9.14285714285714,11.5833333333333
"98",2015-10-06,8,8,8.57142857142857,11.4833333333333
"99",2015-10-07,8,8,10.6428571428571,11.45
"100",2015-10-08,5,5,13.3571428571429,11.45
"101",2015-10-09,11,11,13.5,11.7
"102",2015-10-10,165,22.5,14.2142857142857,11.9666666666667
"103",2015-10-11,34,34,14.2142857142857,12
"104",2015-10-12,6,6,14.7857142857143,11.9333333333333
"105",2015-10-13,13,13,14.7857142857143,11.9666666666667
"106",2015-10-14,8,8,15.2857142857143,12
"107",2015-10-15,9,9,13,11.7666666666667
"108",2015-10-16,11,11,12.5714285714286,11.6333333333333
"109",2015-10-17,26,26,11.4285714285714,11.8333333333333
"110",2015-10-18,18,18,12,11.95
"111",2015-10-19,3,3,11.5714285714286,11.7666666666667
"112",2015-10-20,5,5,12.2857142857143,11.6666666666667
"113",2015-10-21,12,12,11.2857142857143,11.85
"114",2015-10-22,6,6,10,12.0666666666667
"115",2015-10-23,16,16,11,12.2333333333333
"116",2015-10-24,19,19,11.8571428571429,12.3
"117",2015-10-25,9,9,11.7142857142857,12.0083333333333
"118",2015-10-26,10,10,11.8571428571429,11.25
"119",2015-10-27,11,11,10.8571428571429,11
"120",2015-10-28,11,11,9.57142857142857,11.1166666666667
"121",2015-10-29,7,7,11.7142857142857,10.9916666666667
"122",2015-10-30,9,9,11.1428571428571,10.9833333333333
"123",2015-10-31,10,10,10.4285714285714,10.95
"124",2015-11-01,24,24,10,10.6833333333333
"125",2015-11-02,6,6,11.2857142857143,10.3333333333333
"126",2015-11-03,6,6,11.8571428571429,10.45
"127",2015-11-04,8,8,11.8571428571429,10.85
"128",2015-11-05,16,16,9.85714285714286,11.05
"129",2015-11-06,13,13,9.85714285714286,11.1666666666667
"130",2015-11-07,10,10,9.71428571428571,11.1666666666667
"131",2015-11-08,10,10,11.4285714285714,10.95
"132",2015-11-09,6,6,10,10.8666666666667
"133",2015-11-10,5,5,9.21428571428571,10.9333333333333
"134",2015-11-11,20,20,9.07142857142857,11
"135",2015-11-12,6,6,8.92857142857143,11.1166666666667
"136",2015-11-13,47,7.5,9.78571428571428,11.2666666666667
"137",2015-11-14,9,9,10.6428571428571,11.3416666666667
"138",2015-11-15,9,9,10.2142857142857,11.25
"139",2015-11-16,12,12,11.5,11.1333333333333
"140",2015-11-17,11,11,12.4285714285714,11.75
"141",2015-11-18,17,17,12.7142857142857,12.9166666666667
"142",2015-11-19,15,15,13,13.7833333333333
"143",2015-11-20,14,14,12.8571428571429,14.4333333333333
"144",2015-11-21,11,11,13,14.85
"145",2015-11-22,97,11,12.1428571428571,15
"146",2015-11-23,11,11,12,15.2833333333333
"147",2015-11-24,12,12,12.1428571428571,15.5833333333333
"148",2015-11-25,11,11,12.2857142857143,15.7916666666667
"149",2015-11-26,14,14,11.9285714285714,15.95
"150",2015-11-27,15,15,11.0714285714286,16.1666666666667
"151",2015-11-28,12,12,12.5,16.3916666666667
"152",2015-11-29,104,8.5,17.3571428571429,16.6333333333333
"153",2015-11-30,5,5,20.6428571428571,16.9333333333333
"154",2015-12-01,22,22,22.6428571428571,17.0666666666667
"155",2015-12-02,45,45,25.7857142857143,17.5166666666667
"156",2015-12-03,75,37,27.4285714285714,18.2166666666667
"157",2015-12-04,29,29,28.4285714285714,18.4666666666667
"158",2015-12-05,34,34,28.8571428571429,18.4666666666667
"159",2015-12-06,20,20,23.7142857142857,18.55
"160",2015-12-07,12,12,20.5,18.7833333333333
"161",2015-12-08,25,25,19.2142857142857,19.3166666666667
"162",2015-12-09,9,9,17.0714285714286,19.8833333333333
"163",2015-12-10,62,14.5,15.3571428571429,20.6833333333333
"164",2015-12-11,20,20,16.9285714285714,21.5833333333333
"165",2015-12-12,19,19,15.2142857142857,22.0666666666667
"166",2015-12-13,8,8,16.2142857142857,22.1833333333333
"167",2015-12-14,23,23,19,22.4583333333333
"168",2015-12-15,13,13,21.2857142857143,22.8833333333333
"169",2015-12-16,16,16,20.1428571428571,22.95
"170",2015-12-17,34,34,21.5714285714286,22.2833333333333
"171",2015-12-18,36,36,20,21.3333333333333
"172",2015-12-19,11,11,21.5714285714286,20.6
"173",2015-12-20,18,18,23.5714285714286,19.9666666666667
"174",2015-12-21,12,12,22.5714285714286,19.7166666666667
"175",2015-12-22,24,24,23.7142857142857,19.8333333333333
"176",2015-12-23,30,30,27.1428571428571,19.9
"177",2015-12-24,27,27,27.8571428571429,20.2
"178",2015-12-25,44,44,27.7142857142857,20.5416666666667
"179",2015-12-26,35,35,28,20.4666666666667
"180",2015-12-27,53,23,25.5714285714286,20.45
"181",2015-12-28,11,11,24.2857142857143,20.6166666666667
"182",2015-12-29,26,26,19.2857142857143,20.6
"183",2015-12-30,13,13,16.5714285714286,20.6833333333333
"184",2015-12-31,18,18,14.1428571428571,20.9
"185",2016-01-01,9,9,15.2857142857143,20.55
"186",2016-01-02,16,16,14.4285714285714,20.05
"187",2016-01-03,6,6,15.2857142857143,20.0166666666667
"188",2016-01-04,19,19,15.8571428571429,20.05
"189",2016-01-05,20,20,18.8571428571429,20.3
"190",2016-01-06,19,19,18.5714285714286,20.75
"191",2016-01-07,22,22,20,20.6333333333333
"192",2016-01-08,30,30,20.4285714285714,20.5833333333333
"193",2016-01-09,14,14,19.7142857142857,20.3333333333333
"194",2016-01-10,16,16,19.1428571428571,19.4666666666667
"195",2016-01-11,22,22,19.7142857142857,18.8833333333333
"196",2016-01-12,15,15,17.7142857142857,18.7166666666667
"197",2016-01-13,15,15,17.5714285714286,18.6666666666667
"198",2016-01-14,26,26,19.1428571428571,18.55
"199",2016-01-15,16,16,18.5714285714286,18.4166666666667
"200",2016-01-16,13,13,18.2857142857143,18.5166666666667
"201",2016-01-17,27,27,20.7142857142857,18.5666666666667
"202",2016-01-18,18,18,21.4285714285714,18.75
"203",2016-01-19,13,13,21.4285714285714,19
"204",2016-01-20,32,32,25,18.8166666666667
"205",2016-01-21,31,31,23.7142857142857,18.7833333333333
"206",2016-01-22,16,16,22.4285714285714,18.7666666666667
"207",2016-01-23,38,38,22.5714285714286,18.2666666666667
"208",2016-01-24,18,18,19.4285714285714,17.8666666666667
"209",2016-01-25,9,9,18.4285714285714,17.7166666666667
"210",2016-01-26,14,14,17.2857142857143,17.4166666666667
"211",2016-01-27,10,10,14,17.55
"212",2016-01-28,24,24,14,17.9
"213",2016-01-29,8,8,14.1428571428571,17.9833333333333
"214",2016-01-30,15,15,15.4285714285714,17.95
"215",2016-01-31,18,18,16.4285714285714,17.8
"216",2016-02-01,10,10,14.5714285714286,17.5166666666667
"217",2016-02-02,23,23,17.1428571428571,17.35
"218",2016-02-03,17,17,17,17.3833333333333
"219",2016-02-04,11,11,15.5714285714286,17.0166666666667
"220",2016-02-05,26,26,15.8571428571429,16.3666666666667
"221",2016-02-06,14,14,13.8571428571429,15.9833333333333
"222",2016-02-07,8,8,13,15.4833333333333
"223",2016-02-08,12,12,16.2857142857143,15.0333333333333
"224",2016-02-09,9,9,15,15.0666666666667
"225",2016-02-10,11,11,17.1428571428571,15.2166666666667
"226",2016-02-11,34,34,17.5714285714286,15.4833333333333
"227",2016-02-12,17,17,17.1428571428571,15.5
"228",2016-02-13,29,29,17.8571428571429,15.3833333333333
"229",2016-02-14,11,11,19.2857142857143,15.7666666666667
"230",2016-02-15,9,9,16.1428571428571,16.1
"231",2016-02-16,14,14,15.2857142857143,16.6333333333333
"232",2016-02-17,21,21,13,17.0333333333333
"233",2016-02-18,12,12,13,16.7
"234",2016-02-19,11,11,13.5714285714286,16.6666666666667
"235",2016-02-20,13,13,13.8571428571429,16.65
"236",2016-02-21,11,11,12.7142857142857,16.3833333333333
"237",2016-02-22,13,13,13.7142857142857,16.5
"238",2016-02-23,16,16,15.1428571428571,16.7833333333333
"239",2016-02-24,13,13,15.2857142857143,17.0166666666667
"240",2016-02-25,19,19,15.2857142857143,17.1166666666667
"241",2016-02-26,21,21,18.4285714285714,16.65
"242",2016-02-27,14,14,18.7142857142857,16.2333333333333
"243",2016-02-28,11,11,22.8571428571429,15.9
"244",2016-02-29,35,35,22.2857142857143,15.55
"245",2016-03-01,18,18,20,15.6166666666667
"246",2016-03-02,42,42,21,15.75
"247",2016-03-03,15,15,21.5714285714286,15.55
"248",2016-03-04,5,5,17.8571428571429,15.4
"249",2016-03-05,21,21,18.1428571428571,15.5333333333333
"250",2016-03-06,56,15,14.5714285714286,15.5333333333333
"251",2016-03-07,9,9,15,15.5166666666667
"252",2016-03-08,20,20,15.4285714285714,15.5
"253",2016-03-09,17,17,13.7142857142857,15.3333333333333
"254",2016-03-10,18,18,14,15.2333333333333
"255",2016-03-11,8,8,14,15.1333333333333
"256",2016-03-12,9,9,12.5714285714286,14.9833333333333
"257",2016-03-13,17,17,12.1428571428571,14.9916666666667
"258",2016-03-14,9,9,12,15.0166666666667
"259",2016-03-15,10,10,11.7142857142857,14.7333333333333
"260",2016-03-16,14,14,13,14.4333333333333
"261",2016-03-17,17,17,12.4285714285714,13.9166666666667
"262",2016-03-18,6,6,12.7142857142857,13.4
"263",2016-03-19,18,18,13,13.5166666666667
"264",2016-03-20,13,13,12.5714285714286,13.45
"265",2016-03-21,11,11,11.2857142857143,13.2708333333333
"266",2016-03-22,12,12,12.5714285714286,13.5333333333333
"267",2016-03-23,11,11,11.5714285714286,13.9541666666667
"268",2016-03-24,8,8,12.5714285714286,14.4833333333333
"269",2016-03-25,15,15,13.2142857142857,15.0722222222222
"270",2016-03-26,11,11,13.0714285714286,15.6222222222222
"271",2016-03-27,20,20,14.0714285714286,16.1333333333333
"272",2016-03-28,59,15.5,15.3571428571429,16.3777777777778
"273",2016-03-29,11,11,14.9285714285714,16.5777777777778
"274",2016-03-30,18,18,15.3571428571429,16.85
"275",2016-03-31,17,17,14.3571428571429,17.0166666666667
"276",2016-04-01,12,12,13.4285714285714,17.1666666666667
"277",2016-04-02,14,14,14.1785714285714,17.4333333333333
"278",2016-04-03,13,13,14.9642857142857,17.6833333333333
"279",2016-04-04,9,9,16.9285714285714,17.85
"280",2016-04-05,490,16.25,20.6428571428571,18.1166666666667
"281",2016-04-06,189,23.5,23.2619047619048,18.8333333333333
"282",2016-04-07,102,30.75,25.2142857142857,19.2833333333333
"283",2016-04-08,38,38,26.9285714285714,19.5833333333333
"284",2016-04-09,126,32.3333333333333,27.4166666666667,20
"285",2016-04-10,71,26.6666666666667,26.6785714285714,20.2666666666667
"286",2016-04-11,21,21,24.7142857142857,20.8333333333333
"287",2016-04-12,57,19.6666666666667,21.7142857142857,21.225
"288",2016-04-13,79,18.3333333333333,20.3809523809524,21.35
"289",2016-04-14,17,17,18.8571428571429,21.3666666666667
"290",2016-04-15,17,17,19.1428571428571,21.5166666666667
"291",2016-04-16,23,23,18.9047619047619,21.8166666666667
"292",2016-04-17,16,16,19.4285714285714,21.95
"293",2016-04-18,23,23,23.2857142857143,21.9833333333333
"294",2016-04-19,18,18,21.7142857142857,22.1666666666667
"295",2016-04-20,22,22,22.8571428571429,22.4458333333333
"296",2016-04-21,44,44,23,22.4666666666667
"297",2016-04-22,6,6,23.2857142857143,22.0625
"298",2016-04-23,31,31,26.4285714285714,21.9333333333333
"299",2016-04-24,17,17,26,21.9611111111111
"300",2016-04-25,25,25,21.8571428571429,21.9944444444444
"301",2016-04-26,40,40,23.1428571428571,22.2333333333333
"302",2016-04-27,19,19,22.8571428571429,22.2888888888889
"303",2016-04-28,15,15,23,22.3888888888889
"304",2016-04-29,15,15,21.7142857142857,22.55
"305",2016-04-30,29,29,17.8571428571429,22.6166666666667
"306",2016-05-01,18,18,18,22.5333333333333
"307",2016-05-02,16,16,19,22.7833333333333
"308",2016-05-03,13,13,19.5714285714286,22.9833333333333
"309",2016-05-04,20,20,17,22.7666666666667
"310",2016-05-05,22,22,21.5714285714286,22.55
"311",2016-05-06,19,19,22.4285714285714,21.9166666666667
"312",2016-05-07,11,11,26.1428571428571,21.5333333333333
"313",2016-05-08,50,50,26.5714285714286,21.3166666666667
"314",2016-05-09,22,22,26.4285714285714,21.0333333333333
"315",2016-05-10,39,39,27,21.0166666666667
"316",2016-05-11,23,23,28.5714285714286,20.5833333333333
"317",2016-05-12,21,21,23.7142857142857,20.15
"318",2016-05-13,23,23,23.2857142857143,20.0166666666667
"319",2016-05-14,22,22,22.7142857142857,19.9666666666667
"320",2016-05-15,16,16,21.7142857142857,19.7666666666667
"321",2016-05-16,19,19,20.4285714285714,19.5333333333333
"322",2016-05-17,35,35,19.2857142857143,19.5833333333333
"323",2016-05-18,16,16,18,19.9
"324",2016-05-19,12,12,17.7142857142857,20.0166666666667
"325",2016-05-20,15,15,16.4285714285714,19.7166666666667
"326",2016-05-21,13,13,14.4285714285714,19.4666666666667
"327",2016-05-22,14,14,15,19.45
"328",2016-05-23,10,10,16,18.9666666666667
"329",2016-05-24,21,21,15.8571428571429,18.3666666666667
"330",2016-05-25,20,20,15.7142857142857,17.8166666666667
"331",2016-05-26,19,19,15.8571428571429,17.1333333333333
"332",2016-05-27,14,14,16.8571428571429,16.8166666666667
"333",2016-05-28,12,12,16.1428571428571,16.6166666666667
"334",2016-05-29,15,15,16.2857142857143,16.4
"335",2016-05-30,17,17,17.4285714285714,16.2166666666667
"336",2016-05-31,16,16,17.2857142857143,16.1333333333333
"337",2016-06-01,21,21,17.1428571428571,15.7666666666667
"338",2016-06-02,27,27,17.1428571428571,15.4
"339",2016-06-03,13,13,16.7142857142857,15.35
"340",2016-06-04,11,11,17,15.2166666666667
"341",2016-06-05,15,15,16.5714285714286,15.1666666666667
"342",2016-06-06,14,14,14.1428571428571,15.4333333333333
"343",2016-06-07,18,18,13.8571428571429,15.8333333333333
"344",2016-06-08,18,18,14.2857142857143,15.8166666666667
"345",2016-06-09,10,10,14.7142857142857,15.6333333333333
"346",2016-06-10,11,11,14.7142857142857,15.6
"347",2016-06-11,14,14,14,15.5166666666667
"348",2016-06-12,18,18,13.8571428571429,15.4833333333333
"349",2016-06-13,14,14,14.5714285714286,15.5166666666667
"350",2016-06-14,13,13,15,15.6666666666667
"351",2016-06-15,17,17,14.5714285714286,15.7
"352",2016-06-16,15,15,13.1428571428571,15.6166666666667
"353",2016-06-17,14,14,13.5714285714286,15.4333333333333
"354",2016-06-18,234,11,15.4285714285714,15.3
"355",2016-06-19,8,8,16.1428571428571,15.4166666666667
"356",2016-06-20,62,17,15.1428571428571,15.55
"357",2016-06-21,26,26,16.2857142857143,15.7166666666667
"358",2016-06-22,22,22,16.8571428571429,15.7833333333333
"359",2016-06-23,8,8,17.5714285714286,15.9333333333333
"360",2016-06-24,22,22,16.7142857142857,16.55
"361",2016-06-25,15,15,15.5714285714286,17.45
"362",2016-06-26,69,13,15.7142857142857,18.45
"363",2016-06-27,11,11,16.2857142857143,18.95
"364",2016-06-28,18,18,16,19
"365",2016-06-29,23,23,16.2857142857143,19.1
"366",2016-06-30,12,12,16.5714285714286,19.15
"367",2016-07-01,20,20,17.2857142857143,19.15
"368",2016-07-02,17,17,17.2857142857143,19.15
"369",2016-07-03,15,15,17,19.2333333333333
"370",2016-07-04,16,16,17.4285714285714,19.5666666666667
"371",2016-07-05,18,18,18.8571428571429,19.9166666666667
"372",2016-07-06,21,21,21.4285714285714,19.8666666666667
"373",2016-07-07,15,15,25,19.8666666666667
"374",2016-07-08,30,30,29.1428571428571,20.0666666666667
"375",2016-07-09,115,35,29,19.9833333333333
"376",2016-07-10,56,40,28.5714285714286,19.8833333333333
"377",2016-07-11,45,45,28.5714285714286,20
"378",2016-07-12,17,17,26.8571428571429,20.4
"379",2016-07-13,18,18,23.8571428571429,20.8666666666667
"380",2016-07-14,15,15,20.2857142857143,21.1
"381",2016-07-15,18,18,16,21.2
"382",2016-07-16,14,14,17,21.1833333333333
"383",2016-07-17,15,15,17.5714285714286,21.2
"384",2016-07-18,15,15,18,21.2833333333333
"385",2016-07-19,24,24,19.7142857142857,21.35
"386",2016-07-20,22,22,19.4285714285714,21.4
"387",2016-07-21,18,18,19.1428571428571,21.9
"388",2016-07-22,30,30,19.5714285714286,22.2833333333333
"389",2016-07-23,12,12,18.5714285714286,22.0166666666667
"390",2016-07-24,13,13,19.8571428571429,21.6833333333333
"391",2016-07-25,18,18,21,21.55
"392",2016-07-26,17,17,20.8571428571429,21.2
"393",2016-07-27,31,31,20.8571428571429,21.05
"394",2016-07-28,26,26,21.7142857142857,21.8833333333333
"395",2016-07-29,29,29,21.8571428571429,22.5333333333333
"396",2016-07-30,12,12,22,22.6666666666667
"397",2016-07-31,19,19,20,22.7666666666667
"398",2016-08-01,19,19,19.1428571428571,22.7166666666667
"399",2016-08-02,57,18,22,23.2333333333333
"400",2016-08-03,17,17,21.7142857142857,24.1
"401",2016-08-04,20,20,21.7142857142857,24.65
"402",2016-08-05,49,49,22.7142857142857,24.8166666666667
"403",2016-08-06,10,10,26,24.7333333333333
"404",2016-08-07,19,19,26.8571428571429,24.8666666666667
